tick,unmetDemandRatio
987.0,0.289646116893628
988.0,0.30295804076829314
989.0,0.2963689528929195
990.0,0.26009904398771355
991.0,0.22789897024004904
992.0,0.24139880966803456
993.0,0.23440349465291085
994.0,0.25683560914004855
995.0,0.2679131438306468
996.0,0.280539871432886
997.0,0.24932844172877167
998.0,0.25719169761918426
999.0,0.2875475119174564
1000.0,0.23103177410204015
1001.0,0.20545028588552502
1002.0,0.24451235565402005
1003.0,0.28344428882981615
1004.0,0.22743648659520077
1005.0,0.23318114020916283
1006.0,0.3432387269039973
1007.0,0.27928087012468134
1008.0,0.2266672677244382
1009.0,0.2598628528829878
1010.0,0.263258551360979
1011.0,0.20232222998761157
1012.0,0.17484289601234065
1013.0,0.24600892293204027
1014.0,0.2649365597361984
1015.0,0.2119452549288326
1016.0,0.17440846397742144
1017.0,0.21556308571000524
1018.0,0.21898091484385632
1019.0,0.23988992800706155
1020.0,0.17321927376184237
1021.0,0.16966751037325448
1022.0,0.24732203757544569
1023.0,0.17143637090770159
1024.0,0.185444170947507
1025.0,0.2328038620973008
1026.0,0.207054897371414
1027.0,0.20962169287636948
1028.0,0.16375460706218475
1029.0,0.21855803973094454
1030.0,0.22696363392782376
1031.0,0.22851403488750407
1032.0,0.09044334002011684
1033.0,0.15850315497135045
1034.0,0.0964021459177216
1035.0,0.11991487688363152
1036.0,0.14293219928791653
1037.0,0.08943639798507487
1038.0,0.10152461422901815
1039.0,0.12606837235746693
1040.0,0.15915026368891533
1041.0,0.1422033524285698
1042.0,0.16359710045906556
1043.0,0.1679896361460446
1044.0,0.10662449174272486
1045.0,0.1424428935061246
1046.0,0.10666440338257314
1047.0,0.14732342427105835
1048.0,0.13348454801856866
1049.0,0.10497483542051714
1050.0,0.18351349689950353
1051.0,0.11989797316273802
1052.0,0.1797038349781951
1053.0,0.041289880126534326
1054.0,0.013695566108340333
1055.0,0.019535187155113327
1056.0,0.0059460311870683106
1057.0,0.010926496605146921
1058.0,0.01320374717012894
1059.0,0.018579380675940598
1060.0,0.01766372785796917
1061.0,0.007588539192246288
1062.0,0.009873626434380856
1063.0,0.010019883386438274
1064.0,0.0054040111932439
1065.0,0.005288413063082218
1066.0,0.012716458564127469
1067.0,0.01010456480464532
1068.0,0.0045102377706413895
1069.0,0.011774137730988456
1070.0,0.006826684518818418
1071.0,0.001833197677908242
1072.0,0.004178662561300589
1073.0,0.006036213236173558
1074.0,0.0010281968911709223
1075.0,0.0013221553032588815
1076.0,8.657764389915304E-4
1077.0,8.120903911714234E-4
1078.0,6.997204705643386E-4
1079.0,7.641249937619019E-4
1080.0,0.001285574995618516
1081.0,7.816148876831581E-4
1082.0,0.0010708329457854715
1083.0,7.038428717613776E-4
1084.0,8.639232131830186E-4
1085.0,5.033206124226726E-4
1086.0,7.615528680796792E-4
1087.0,6.15511837926476E-4
1088.0,5.690032705304509E-4
1089.0,8.015191228154596E-4
1090.0,6.735674249633313E-4
1091.0,0.0014623988806831821
1092.0,8.13036896688326E-4
1093.0,4.050888319644508E-4
1094.0,5.846150184544236E-4
1095.0,7.282526859170087E-4
1096.0,7.229243072094999E-4
1097.0,6.007075012439424E-4
1098.0,5.524161885691838E-4
1099.0,7.290138828752247E-4
1100.0,4.2377390263073487E-4
1101.0,3.0122119235800914E-4
1102.0,3.1757469149657824E-5
1103.0,4.359530539621851E-4
1104.0,2.4525655699143465E-4
1105.0,4.036306273760503E-4
1106.0,4.3671425092040164E-4
1107.0,8.770761894538737E-18
1108.0,4.504157961682823E-4
1109.0,5.394758402795175E-4
1110.0,4.7353423984879237E-4
1111.0,4.428038265861275E-4
1112.0,2.5250458703220634E-4
1113.0,2.508605655530778E-4
1114.0,8.881784197001253E-18
1115.0,4.656397353325964E-4
1116.0,7.299691517363723E-4
1117.0,5.844159384040216E-4
1118.0,6.417151671819146E-4
1119.0,6.476426736072151E-4
1120.0,3.61805141542781E-4
1121.0,3.3150899759125006E-4
1122.0,6.970385604847086E-4
1123.0,3.184061720111864E-5
1124.0,2.262005165065184E-5
1125.0,8.742051414186555E-4
1126.0,2.1098303361016512E-4
1127.0,5.165789204255969E-4
1128.0,4.3952133689670537E-4
1129.0,9.70431878794099E-5
1130.0,3.0714036006501997E-4
1131.0,8.548717289613705E-18
1132.0,2.2547249376089496E-4
1133.0,7.771561172376097E-18
1134.0,1.958349616344003E-4
1135.0,2.096658099600981E-4
1136.0,6.772360450213455E-18
1137.0,8.659739592076221E-18
1138.0,2.8482895265113273E-5
1139.0,2.3531696139510072E-4
1140.0,5.681861754842988E-4
1141.0,8.881784197001253E-18
1142.0,9.545081455762272E-5
1143.0,2.83567728208031E-4
1144.0,2.0905388578806416E-4
1145.0,3.678538778306175E-4
1146.0,8.43769498715119E-18
1147.0,5.107738706689132E-4
1148.0,8.881784197001253E-18
1149.0,8.881784197001253E-18
1150.0,4.503077198527106E-4
1151.0,9.436895709313831E-18
1152.0,6.585800171085219E-4
1153.0,8.659739592076221E-18
1154.0,6.8833827526759705E-18
1155.0,3.193081774060203E-5
1156.0,2.780708054065584E-4
1157.0,1.0325074129013956E-17
1158.0,9.257548117564296E-6
1159.0,5.132631203973459E-5
1160.0,8.992806499463768E-18
1161.0,8.548717289613705E-18
1162.0,7.105427357601002E-18
1163.0,4.401723507339046E-4
1164.0,1.6293322808052745E-4
1165.0,3.649236104560906E-4
1166.0,4.6970248315811314E-4
1167.0,2.1823318867326158E-4
1168.0,3.9228253832828883E-4
1169.0,2.0492199718412195E-4
1170.0,8.992806499463768E-18
1171.0,1.6526164747390692E-4
1172.0,4.5348048714926814E-5
1173.0,5.466172628844035E-5
1174.0,2.5556483871211898E-5
1175.0,1.0325074129013956E-17
1176.0,8.992806499463768E-18
1177.0,7.445329113215438E-5
1178.0,8.326672684688674E-18
1179.0,1.0058690985121355E-4
1180.0,3.3316773179972725E-4
1181.0,3.792542622811477E-4
1182.0,9.769962616701377E-18
1183.0,7.71717086921464E-6
1184.0,8.28614038133113E-6
1185.0,3.2008143302105396E-4
1186.0,8.104628079763642E-18
1187.0,3.1496070741200764E-4
1188.0,2.2620146352186733E-4
1189.0,9.769962616701377E-18
1190.0,8.770761894538737E-18
1191.0,7.1482013570977054E-6
1192.0,4.128637208407593E-5
1193.0,8.43769498715119E-18
1194.0,2.040116525493325E-4
1195.0,5.772556524976118E-4
1196.0,3.354436098481913E-4
1197.0,8.881784197001253E-18
1198.0,9.547918011776345E-18
1199.0,4.18553415961912E-5
1200.0,5.377284211607513E-4
1201.0,9.436895709313831E-18
1202.0,1.1208340198942657E-4
1203.0,1.0880185641326535E-17
1204.0,2.0253990541175827E-4
1205.0,1.3857628334508321E-5
1206.0,4.994370178715436E-4
1207.0,1.0769163338864019E-17
1208.0,9.103828801926284E-18
1209.0,9.325873406851316E-18
1210.0,1.4926490953112137E-4
1211.0,2.3250709059461505E-4
1212.0,9.992007221626408E-18
1213.0,9.992007221626408E-18
1214.0,4.5489657138636174E-5
1215.0,2.495658580964011E-5
1216.0,9.880984919163893E-18
1217.0,2.5193026617609504E-4
1218.0,6.990736358392536E-5
1219.0,1.0098444451429711E-4
1220.0,4.5892582308731256E-4
1221.0,8.881784197001253E-18
1222.0,9.2148511043888E-18
1223.0,1.9960140844877074E-5
1224.0,9.2148511043888E-18
1225.0,9.880984919163893E-18
1226.0,4.4380550403975885E-4
1227.0,7.43849426498855E-18
1228.0,2.879397898326075E-4
1229.0,1.0547118733938987E-17
1230.0,5.193915288408957E-6
